ID,IG,IS,VD,VG,VS,absID,absIG,dIddVg,date,filename,gm2,hour,length,remarks,si,sqrtID,structure,ta,target,temperature,thickness,title,uniqueID,width
4.0895999999999994e-11,-1.6700000000000004e-12,-9.183e-11,2.1,0.0,,4.0895999999999994e-11,1.6700000000000004e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
3.78962e-11,-3.85e-12,-3.5479999999999997e-11,2.2,0.0,,3.78962e-11,3.85e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
4.25772e-11,-3.617e-11,-3.9909999999999995e-11,2.3000000000000003,0.0,,4.25772e-11,3.617e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
3.4943000000000004e-11,4.406e-11,-3.649e-11,2.4,0.0,,3.4943000000000004e-11,4.406e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
4.64606e-11,-5.2009999999999997e-11,-4.564e-11,2.5,0.0,,4.64606e-11,5.2009999999999997e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
3.72532e-11,5.334000000000001e-11,-2.9429999999999996e-11,2.6,0.0,,3.72532e-11,5.334000000000001e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
3.82088e-11,2.238e-11,2.187e-11,2.7,0.0,,3.82088e-11,2.238e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
5.13646e-11,-2.8499999999999998e-12,-1.0411e-10,2.8000000000000003,0.0,,5.13646e-11,2.8499999999999998e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
4.86792e-11,-3.3200000000000008e-12,-4.788000000000001e-11,2.9,0.0,,4.86792e-11,3.3200000000000008e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
5.33678e-11,-3.705e-11,-5.1950000000000005e-11,3.0,0.0,,5.33678e-11,3.705e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
4.56876e-11,4.6710000000000006e-11,-4.5800000000000006e-11,3.1,0.0,,4.56876e-11,4.6710000000000006e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
5.78422e-11,-5.302e-11,-6.255e-11,3.2,0.0,,5.78422e-11,5.302e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
6.02678e-11,-3.75e-11,-1.0493e-10,3.3000000000000003,0.0,,6.02678e-11,3.75e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
4.99632e-11,1.2900000000000002e-12,1.7800000000000003e-11,3.4,0.0,,4.99632e-11,1.2900000000000002e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
5.77982e-11,-1.9700000000000003e-12,-5.767000000000001e-11,3.5,0.0,,5.77982e-11,1.9700000000000003e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
5.63728e-11,1.801e-11,-5.7359999999999996e-11,3.6,0.0,,5.63728e-11,1.801e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
5.59578e-11,4.9049999999999995e-11,-5.62e-11,3.7,0.0,,5.59578e-11,4.9049999999999995e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
6.84074e-11,-5.417000000000001e-11,-7.404000000000001e-11,3.8,0.0,,6.84074e-11,5.417000000000001e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
7.0722e-11,-3.041e-11,-1.2293e-10,3.9,0.0,,7.0722e-11,3.041e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
6.0604e-11,3.4e-13,1e-13,4.0,0.0,,6.0604e-11,3.4e-13,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
6.83112e-11,-1.6000000000000008e-13,-6.54e-11,4.1,0.0,,6.83112e-11,1.6000000000000008e-13,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
6.65374e-11,2.447e-11,-6.676999999999999e-11,4.2,0.0,,6.65374e-11,2.447e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
7.61504e-11,-4.0899999999999996e-11,-7.397e-11,4.3,0.0,,7.61504e-11,4.0899999999999996e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
6.81962e-11,4.77e-11,-6.947000000000001e-11,4.4,0.0,,6.81962e-11,4.77e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
8.0407e-11,-5.284e-11,-8.449000000000001e-11,4.5,0.0,,8.0407e-11,5.284e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
8.27638e-11,-3.4210000000000004e-11,-1.303e-10,4.6000000000000005,0.0,,8.27638e-11,3.4210000000000004e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
7.291399999999999e-11,1.6000000000000008e-13,-1.2380000000000002e-11,4.7,0.0,,7.291399999999999e-11,1.6000000000000008e-13,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
8.00458e-11,1.4e-13,-8.024000000000001e-11,4.8,0.0,,8.00458e-11,1.4e-13,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
7.86332e-11,2.479e-11,-8.018000000000001e-11,4.9,0.0,,7.86332e-11,2.479e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
8.86478e-11,-4.1799999999999994e-11,-8.588e-11,5.0,0.0,,8.86478e-11,4.1799999999999994e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
-1.20752e-11,5.099999999999999e-13,-5.5e-12,0.0,0.5,,1.20752e-11,5.099999999999999e-13,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
3.2559e-09,-4.7e-13,-3.0496e-09,0.1,0.5,,3.2559e-09,4.7e-13,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
3.5125e-09,8.1e-13,-3.4433000000000003e-09,0.2,0.5,,3.5125e-09,8.1e-13,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
3.4207e-09,-5.1660000000000006e-11,-3.4087e-09,0.3,0.5,,3.4207e-09,5.1660000000000006e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
3.3004e-09,2.8400000000000004e-12,-3.2422000000000002e-09,0.4,0.5,,3.3004e-09,2.8400000000000004e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
3.2669000000000004e-09,1.18e-12,-3.2332e-09,0.5,0.5,,3.2669000000000004e-09,1.18e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
3.1648000000000005e-09,-5.285e-11,-3.1628e-09,0.6,0.5,,3.1648000000000005e-09,5.285e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
3.0813e-09,2.59e-12,-3.0109000000000004e-09,0.7000000000000001,0.5,,3.0813e-09,2.59e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
3.0525999999999996e-09,8.6e-13,-3.0177e-09,0.8,0.5,,3.0525999999999996e-09,8.6e-13,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.9708e-09,-5.2980000000000014e-11,-2.9712e-09,0.9,0.5,,2.9708e-09,5.2980000000000014e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.8971e-09,1.64e-12,-2.8435e-09,1.0,0.5,,2.8971e-09,1.64e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.9070999999999996e-09,2.1500000000000003e-12,-2.8742000000000003e-09,1.1,0.5,,2.9070999999999996e-09,2.1500000000000003e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.8397e-09,-5.392000000000001e-11,-2.8431999999999994e-09,1.2,0.5,,2.8397e-09,5.392000000000001e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.7679000000000003e-09,1.77e-12,-2.7132e-09,1.3,0.5,,2.7679000000000003e-09,1.77e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.7972e-09,2.93e-12,-2.7641e-09,1.4,0.5,,2.7972e-09,2.93e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.7145e-09,-5.0769999999999996e-11,-2.7221e-09,1.5,0.5,,2.7145e-09,5.0769999999999996e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.6705999999999994e-09,6.500000000000001e-13,-2.6068e-09,1.6,0.5,,2.6705999999999994e-09,6.500000000000001e-13,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.7004e-09,-1.35e-12,-2.6527e-09,1.7,0.5,,2.7004e-09,1.35e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.6203000000000006e-09,-5.212e-11,-2.6263000000000003e-09,1.8,0.5,,2.6203000000000006e-09,5.212e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.5811999999999997e-09,8.4e-13,-2.5143000000000003e-09,1.9,0.5,,2.5811999999999997e-09,8.4e-13,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.6314e-09,-1.09e-12,-2.5806999999999996e-09,2.0,0.5,,2.6314e-09,1.09e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.5642e-09,-5.160000000000001e-11,-2.5649e-09,2.1,0.5,,2.5642e-09,5.160000000000001e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.5142e-09,2.17e-12,-2.4414e-09,2.2,0.5,,2.5142e-09,2.17e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.5589e-09,-1.23e-12,-2.5049e-09,2.3000000000000003,0.5,,2.5589e-09,1.23e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.4904e-09,-5.268000000000001e-11,-2.4865e-09,2.4,0.5,,2.4904e-09,5.268000000000001e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.4450999999999998e-09,1.17e-12,-2.3753000000000003e-09,2.5,0.5,,2.4450999999999998e-09,1.17e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.4933e-09,-1.4800000000000002e-12,-2.4319000000000003e-09,2.6,0.5,,2.4933e-09,1.4800000000000002e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.4451999999999998e-09,-5.330000000000001e-11,-2.4419e-09,2.7,0.5,,2.4451999999999998e-09,5.330000000000001e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.4064000000000003e-09,1.1000000000000002e-12,-2.3229e-09,2.8000000000000003,0.5,,2.4064000000000003e-09,1.1000000000000002e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.4440000000000002e-09,-1.22e-12,-2.4001e-09,2.9,0.5,,2.4440000000000002e-09,1.22e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
